Process Name,Total Steps,Step 1,Time 1 (sec),Step 2,Time 2 (sec),Step 3,Time 3 (sec),Step 4,Time 4 (sec),Step 5,Time 5 (sec),Step 6,Time 6 (sec),Step 7,Time 7 (sec),Step 8,Time 8 (sec),Step 9,Time 9 (sec),Step 10,Time 10 (sec),Total Time (sec)
App Launch (First-Time User),4,App loads - loading screen displays (2s animation),2.0,User waits for location permission prompt,1.5,User grants location permission (tap "Allow"),0.8,Map loads and displays prayers,0.7,,,,,,,,,5.0
App Launch (Returning User),3,App loads - loading screen displays (2s animation),2.0,Location already granted - map loads,1.0,Prayers and connections render,0.5,,,,,,,,,,3.5
Sign In with Apple,3,User taps "Sign in with Apple" button,0.3,Apple authentication modal appears,0.4,User taps "Continue" in Apple modal,0.5,User authenticates with Face ID/Touch ID/Password,2.5,App processes authentication,0.5,,,,,,,4.2
Email/Password Login,5,User taps "Login" tab (if not already selected),0.3,User taps email input field,0.3,User types email address (avg 20 chars),4.2,User taps password input field,0.3,User types password (avg 12 chars),5.4,User taps "Enter PrayerMap" button,0.3,App processes login (loading state),1.7,,,,12.5
Email/Password Sign Up,7,User taps "Sign Up" tab,0.3,User taps name input field,0.3,User types first name (avg 6 chars),1.8,User taps email input field,0.3,User types email address (avg 20 chars),4.2,User taps password input field,0.3,User types password (avg 12 chars),5.4,User taps "Join PrayerMap" button,0.3,App processes signup (loading state),1.7,User reads success message,3.0,18.3
Request Prayer - Text Only,7,User taps "Request Prayer" button (bottom center),0.4,Request Prayer modal slides up,0.5,User taps textarea field,0.3,User types prayer text (avg 50 words = 250 chars),18.5,User taps "Add to Map" button,0.4,App processes submission (loading state),1.2,Modal closes automatically,0.4,,,,25.4
Request Prayer - Text with Title,8,User taps "Request Prayer" button,0.4,Request Prayer modal slides up,0.5,User taps title input field,0.3,User types title (avg 4 words = 20 chars),3.2,User taps textarea field,0.3,User types prayer text (avg 50 words = 250 chars),18.5,User taps "Add to Map" button,0.4,App processes submission (loading state),1.2,Modal closes automatically,0.4,,32.1
Request Prayer - Audio,9,User taps "Request Prayer" button,0.4,Request Prayer modal slides up,0.5,User taps "Audio" content type button,0.4,Audio recorder component loads,0.8,User taps "Start Recording" button,0.3,User records audio prayer (avg 30 seconds),30.0,User taps "Stop Recording" button,0.3,User taps "Add to Map" button,0.4,App uploads audio and processes (loading state),3.2,Modal closes automatically,0.4,67.8
Request Prayer - Video,9,User taps "Request Prayer" button,0.4,Request Prayer modal slides up,0.5,User taps "Video" content type button,0.4,Video recorder component loads,1.2,User grants camera permission (if first time),1.5,User taps "Start Recording" button,0.3,User records video prayer (avg 60 seconds),60.0,User taps "Stop Recording" button,0.3,User taps "Add to Map" button,0.4,App uploads video and processes (loading state),8.5,Modal closes automatically,0.4,95.2
Respond to Prayer - Quick Pray (Audio Prayer),4,User taps prayer marker on map,0.4,Prayer Detail modal opens,0.5,Audio prayer auto-plays,0.0,User taps "Tap to Pray for Them" button,0.4,Prayer animation plays (2.5s),2.5,Modal closes automatically,0.4,,,,,8.5
Respond to Prayer - Text Response,8,User taps prayer marker on map,0.4,Prayer Detail modal opens,0.5,User reads prayer text (avg 10 seconds),10.0,User taps "Text" reply type button,0.4,Reply form expands,0.3,User taps textarea field,0.3,User types response (avg 30 words = 150 chars),11.1,User taps "Send Prayer" button,0.4,Prayer animation plays (2.5s),2.5,Modal closes automatically,0.4,,28.7
Respond to Prayer - Audio Response,9,User taps prayer marker on map,0.4,Prayer Detail modal opens,0.5,User reads prayer text (avg 10 seconds),10.0,User taps "Voice" reply type button,0.4,Reply form expands - audio recorder loads,0.8,User taps "Start Recording" button,0.3,User records audio response (avg 30 seconds),30.0,User taps "Stop Recording" button,0.3,User taps "Send Response" button,0.4,App uploads audio (loading state),3.2,Prayer animation plays (2.5s),2.5,Modal closes automatically,0.4,71.3
Respond to Prayer - Video Response,9,User taps prayer marker on map,0.4,Prayer Detail modal opens,0.5,User reads prayer text (avg 10 seconds),10.0,User taps "Video" reply type button,0.4,Reply form expands - video recorder loads,1.2,User grants camera permission (if first time),1.5,User taps "Start Recording" button,0.3,User records video response (avg 60 seconds),60.0,User taps "Stop Recording" button,0.3,User taps "Send Prayer" button,0.4,App uploads video (loading state),8.5,Prayer animation plays (2.5s),2.5,Modal closes automatically,0.4,98.6
View Prayer Details (Text Prayer),2,User taps prayer marker on map,0.4,Prayer Detail modal opens and displays content,0.8,,,,,,,,,,1.2
View Prayer Details (Audio Prayer),2,User taps prayer marker on map,0.4,Prayer Detail modal opens - audio player loads,0.8,,,,,,,,,,1.2
View Prayer Details (Video Prayer),2,User taps prayer marker on map,0.4,Prayer Detail modal opens - video player loads,0.8,,,,,,,,,,1.2
Open Inbox,1,User taps inbox icon (top left),0.5,,,,,,,,,,,0.5
View Inbox Message,2,User taps inbox icon,0.5,Inbox modal opens - user scans message list,1.3,,,,,,,,,1.8
Open Conversation Thread,1,User taps on a message card in inbox,0.6,,,,,,,,,,,0.6
Reply in Conversation Thread,6,User opens conversation thread,0.6,User reads conversation history (avg 5 seconds),5.0,User taps reply input field,0.3,User types reply (avg 30 words = 150 chars),11.1,User taps send button,0.3,App processes reply (loading state),1.2,,,,,24.3
Close Modal,1,User taps X button or taps outside modal,0.3,,,,,,,,,,,0.3
Navigate Map - Zoom In,1,User pinch-to-zoom or double-tap to zoom in,0.8,,,,,,,,,,,0.8
Navigate Map - Pan,1,User drags finger to pan map,1.2,,,,,,,,,,,1.2
Tap Prayer Marker,1,User taps prayer marker (🙏 emoji) on map,0.4,,,,,,,,,,,0.4
Open Settings,1,User taps settings icon (top right),0.5,,,,,,,,,,,0.5
Change Password,6,User opens settings screen,0.5,User scrolls to "Change Password" section,1.2,User taps "New Password" input field,0.3,User types new password (avg 12 chars),5.4,User taps "Confirm New Password" input field,0.3,User types password confirmation (avg 12 chars),5.4,User taps "Update Password" button,0.4,App processes password change (loading state),1.7,User sees success message,2.0,,22.4
Submit Suggestion,4,User opens settings screen,0.5,User scrolls to "Suggestion Box" section,1.2,User taps textarea field,0.3,User types suggestion (avg 50 words = 250 chars),18.5,User taps "Send Suggestion" button,0.4,App processes suggestion (loading state),1.7,User sees success message,2.0,,,,18.7
Toggle Anonymous (Request Prayer),1,User toggles "Post anonymously" switch,0.4,,,,,,,,,,,0.4
Toggle Anonymous (Respond to Prayer),1,User toggles "Send Anonymously" switch,0.4,,,,,,,,,,,0.4
Switch Content Type (Text/Audio/Video),1,User taps different content type button (Text/Audio/Video),0.5,,,,,,,,,,,0.5
Expand Message Preview,1,User taps "Show more" link on truncated message,0.3,,,,,,,,,,,0.3
Listen to Audio Prayer,1,Audio prayer plays (duration varies: 10-120 seconds),Variable,,,,,,,,,,,Variable
Watch Video Prayer,1,Video prayer plays (duration varies: 15-90 seconds),Variable,,,,,,,,,,,Variable

