Process Name,Step Number,Step Description,Time (seconds),Total Steps,Total Time (seconds)
App Launch (First-Time User),1,App loads - loading screen displays (2s animation),2.0,4,5.0
App Launch (First-Time User),2,User waits for location permission prompt,1.5,4,5.0
App Launch (First-Time User),3,User grants location permission (tap "Allow"),0.8,4,5.0
App Launch (First-Time User),4,Map loads and displays prayers,0.7,4,5.0
App Launch (Returning User),1,App loads - loading screen displays (2s animation),2.0,3,3.5
App Launch (Returning User),2,Location already granted - map loads,1.0,3,3.5
App Launch (Returning User),3,Prayers and connections render,0.5,3,3.5
Sign In with Apple,1,User taps "Sign in with Apple" button,0.3,3,4.2
Sign In with Apple,2,Apple authentication modal appears,0.4,3,4.2
Sign In with Apple,3,User taps "Continue" in Apple modal,0.5,3,4.2
Sign In with Apple,4,User authenticates with Face ID/Touch ID/Password,2.5,3,4.2
Sign In with Apple,5,App processes authentication,0.5,3,4.2
Email/Password Login,1,User taps "Login" tab (if not already selected),0.3,5,12.5
Email/Password Login,2,User taps email input field,0.3,5,12.5
Email/Password Login,3,User types email address (avg 20 chars),4.2,5,12.5
Email/Password Login,4,User taps password input field,0.3,5,12.5
Email/Password Login,5,User types password (avg 12 chars),5.4,5,12.5
Email/Password Login,6,User taps "Enter PrayerMap" button,0.3,5,12.5
Email/Password Login,7,App processes login (loading state),1.7,5,12.5
Email/Password Sign Up,1,User taps "Sign Up" tab,0.3,7,18.3
Email/Password Sign Up,2,User taps name input field,0.3,7,18.3
Email/Password Sign Up,3,User types first name (avg 6 chars),1.8,7,18.3
Email/Password Sign Up,4,User taps email input field,0.3,7,18.3
Email/Password Sign Up,5,User types email address (avg 20 chars),4.2,7,18.3
Email/Password Sign Up,6,User taps password input field,0.3,7,18.3
Email/Password Sign Up,7,User types password (avg 12 chars),5.4,7,18.3
Email/Password Sign Up,8,User taps "Join PrayerMap" button,0.3,7,18.3
Email/Password Sign Up,9,App processes signup (loading state),1.7,7,18.3
Email/Password Sign Up,10,User reads success message,3.0,7,18.3
Request Prayer - Text Only,1,User taps "Request Prayer" button (bottom center),0.4,7,25.4
Request Prayer - Text Only,2,Request Prayer modal slides up,0.5,7,25.4
Request Prayer - Text Only,3,User taps textarea field,0.3,7,25.4
Request Prayer - Text Only,4,User types prayer text (avg 50 words = 250 chars),18.5,7,25.4
Request Prayer - Text Only,5,User taps "Add to Map" button,0.4,7,25.4
Request Prayer - Text Only,6,App processes submission (loading state),1.2,7,25.4
Request Prayer - Text Only,7,Modal closes automatically,0.4,7,25.4
